FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
17.000000,35.341930,0.964570,-0.336538,-0.536482,-0.713430,-0.861643,-0.848303,-0.747908,-0.630212,-0.472520,-0.060612,-0.096905,-0.113720,-0.075877,0.025376,0.073645,0.111294,0.130719,0.129478,1.360045,1.359343,1.359809,1.359767,1.360093,1.358644,1.359312,1.360333,1.359940,1.359390,1.359989,1.360536,1.359687,1.360018
18.000000,35.340752,0.967303,-0.337890,-0.538238,-0.715927,-0.864488,-0.850885,-0.750215,-0.632412,-0.473020,-0.060979,-0.097485,-0.114124,-0.076277,0.025545,0.073863,0.111194,0.130775,0.129665,1.363820,1.363306,1.363672,1.363517,1.364066,1.362546,1.363042,1.364100,1.363725,1.363301,1.363900,1.364340,1.363540,1.363689
19.000000,35.340302,0.970457,-0.339432,-0.539942,-0.718622,-0.867233,-0.853827,-0.752334,-0.634369,-0.470468,-0.061862,-0.097099,-0.114021,-0.076145,0.025797,0.073981,0.111635,0.131169,0.130002,1.366734,1.366180,1.366541,1.366374,1.366967,1.365394,1.365996,1.366966,1.366640,1.366359,1.366802,1.367192,1.366469,1.366674
20.000000,35.338917,0.973420,-0.339503,-0.540379,-0.719295,-0.868284,-0.854815,-0.752956,-0.634299,-0.467923,-0.060748,-0.096058,-0.113213,-0.075259,0.026673,0.075137,0.113286,0.132596,0.131753,1.368492,1.367907,1.368146,1.368118,1.368534,1.367112,1.367790,1.368657,1.368346,1.368160,1.368555,1.368772,1.368231,1.368368
21.000000,35.337402,0.974302,-0.337751,-0.539147,-0.717914,-0.867348,-0.853691,-0.752412,-0.633709,-0.468804,-0.059878,-0.096463,-0.113532,-0.075064,0.027174,0.075624,0.113730,0.133024,0.132278,1.369041,1.368386,1.368692,1.368745,1.369074,1.367705,1.368226,1.369222,1.368881,1.368666,1.369009,1.369287,1.368666,1.368897
22.000000,35.336964,0.970922,-0.338150,-0.539382,-0.718143,-0.867264,-0.853902,-0.752524,-0.634677,-0.473062,-0.061426,-0.097970,-0.115120,-0.076649,0.025329,0.073968,0.112367,0.131703,0.130288,1.367466,1.366805,1.367183,1.367102,1.367622,1.366016,1.366656,1.367558,1.367284,1.366962,1.367318,1.367678,1.367046,1.367373
23.000000,35.336567,0.972256,-0.338872,-0.539707,-0.719179,-0.867869,-0.854518,-0.752964,-0.634167,-0.473551,-0.060016,-0.096716,-0.113991,-0.075685,0.026244,0.074614,0.113179,0.132142,0.131224,1.368269,1.367667,1.368060,1.367900,1.368466,1.366838,1.367611,1.368411,1.368207,1.367801,1.368206,1.368573,1.367917,1.368237
24.000000,35.335197,0.974412,-0.339512,-0.540948,-0.720235,-0.869532,-0.855775,-0.754709,-0.635292,-0.469987,-0.060274,-0.096964,-0.113920,-0.075472,0.026796,0.074942,0.112922,0.132124,0.131350,1.369635,1.369114,1.369413,1.369388,1.369801,1.368411,1.369024,1.369920,1.369600,1.369257,1.369715,1.370192,1.369339,1.369720
25.000000,35.334766,0.973005,-0.338917,-0.540353,-0.719601,-0.868432,-0.855221,-0.753832,-0.635178,-0.467543,-0.061142,-0.097357,-0.114461,-0.075795,0.026444,0.074705,0.112216,0.131833,0.130894,1.367156,1.366681,1.367119,1.366958,1.367287,1.366113,1.366563,1.367435,1.367068,1.366861,1.367204,1.367826,1.366714,1.367268
26.000000,35.333900,0.971605,-0.337110,-0.537509,-0.716729,-0.864883,-0.851931,-0.749847,-0.631507,-0.467647,-0.058329,-0.094964,-0.112260,-0.073807,0.027648,0.076155,0.114021,0.133052,0.132518,1.363438,1.362920,1.363518,1.363176,1.363559,1.362273,1.362857,1.363595,1.363278,1.363160,1.363408,1.363970,1.362906,1.363478
